date,temp_celsius,location,latitude,longitude
2016-01-01,1.1,Better_Zone_1,56.7,16.5
2016-01-02,-2.2,Better_Zone_1,56.7,16.5
2016-01-03,-2.6,Better_Zone_1,56.7,16.5
2016-01-04,-1.5,Better_Zone_1,56.7,16.5
2016-01-05,-2.9,Better_Zone_1,56.7,16.5
2016-01-06,-3.0,Better_Zone_1,56.7,16.5
2016-01-07,-2.7,Better_Zone_1,56.7,16.5
2016-01-08,-1.4,Better_Zone_1,56.7,16.5
2016-01-09,-0.5,Better_Zone_1,56.7,16.5
2016-01-10,2.4,Better_Zone_1,56.7,16.5
2016-01-11,3.3,Better_Zone_1,56.7,16.5
2016-01-12,0.7,Better_Zone_1,56.7,16.5
2016-01-13,-4.2,Better_Zone_1,56.7,16.5
2016-01-14,-7.0,Better_Zone_1,56.7,16.5
2016-01-15,-5.4,Better_Zone_1,56.7,16.5
2016-01-16,-6.5,Better_Zone_1,56.7,16.5
2016-01-17,-7.0,Better_Zone_1,56.7,16.5
2016-01-18,-4.6,Better_Zone_1,56.7,16.5
2016-01-19,-1.4,Better_Zone_1,56.7,16.5
2016-01-20,-5.2,Better_Zone_1,56.7,16.5
2016-01-21,-5.8,Better_Zone_1,56.7,16.5
2016-01-22,-5.5,Better_Zone_1,56.7,16.5
2016-01-23,-0.9,Better_Zone_1,56.7,16.5
2016-01-24,1.2,Better_Zone_1,56.7,16.5
2016-01-25,2.1,Better_Zone_1,56.7,16.5
2016-01-26,4.6,Better_Zone_1,56.7,16.5
2016-01-27,6.8,Better_Zone_1,56.7,16.5
2016-01-28,5.3,Better_Zone_1,56.7,16.5
2016-01-29,4.9,Better_Zone_1,56.7,16.5
2016-01-30,4.9,Better_Zone_1,56.7,16.5
2016-01-31,2.4,Better_Zone_1,56.7,16.5
2016-02-01,2.6,Better_Zone_1,56.7,16.5
2016-02-02,5.5,Better_Zone_1,56.7,16.5
2016-02-03,3.7,Better_Zone_1,56.7,16.5
2016-02-04,1.4,Better_Zone_1,56.7,16.5
2016-02-05,0.9,Better_Zone_1,56.7,16.5
2016-02-06,4.1,Better_Zone_1,56.7,16.5
2016-02-07,5.0,Better_Zone_1,56.7,16.5
2016-02-08,4.8,Better_Zone_1,56.7,16.5
2016-02-09,4.5,Better_Zone_1,56.7,16.5
2016-02-10,3.7,Better_Zone_1,56.7,16.5
2016-02-11,2.4,Better_Zone_1,56.7,16.5
2016-02-12,0.4,Better_Zone_1,56.7,16.5
2016-02-13,0.3,Better_Zone_1,56.7,16.5
2016-02-14,0.9,Better_Zone_1,56.7,16.5
2016-02-15,-0.5,Better_Zone_1,56.7,16.5
2016-02-16,-1.1,Better_Zone_1,56.7,16.5
2016-02-17,0.0,Better_Zone_1,56.7,16.5
2016-02-18,1.8,Better_Zone_1,56.7,16.5
2016-02-19,0.8,Better_Zone_1,56.7,16.5
2016-02-20,1.4,Better_Zone_1,56.7,16.5
2016-02-21,3.3,Better_Zone_1,56.7,16.5
2016-02-22,3.0,Better_Zone_1,56.7,16.5
2016-02-23,2.9,Better_Zone_1,56.7,16.5
2016-02-24,1.2,Better_Zone_1,56.7,16.5
2016-02-25,0.9,Better_Zone_1,56.7,16.5
2016-02-26,1.4,Better_Zone_1,56.7,16.5
2016-02-27,1.2,Better_Zone_1,56.7,16.5
2016-02-28,0.8,Better_Zone_1,56.7,16.5
2016-02-29,0.5,Better_Zone_1,56.7,16.5
