species,scientific_name,latitude,longitude,year,month,day,country,phase
Blackcap,Sylvia atricapilla,57.03149,18.2764,2016,1,1.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.74295,12.04397,2016,1,1.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.72734,12.05191,2016,1,1.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,55.75618,12.90483,2016,1,1.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,62.63665,17.95288,2016,1,2.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.66661,11.89684,2016,1,2.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,59.22216,15.24741,2016,1,2.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.6714,11.8925,2016,1,3.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.72734,12.05191,2016,1,3.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,58.0525,14.3369,2016,1,2.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.68552,11.66415,2016,1,4.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,56.63266,16.1689,2016,1,6.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.72245,11.77007,2016,1,6.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,56.07595,15.8459,2016,1,6.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,58.67664,17.08958,2016,1,6.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.72734,12.05191,2016,1,7.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,56.58075,16.45568,2016,1,9.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,56.92161,18.15233,2016,1,9.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.39021,12.00094,2016,1,10.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,58.11129,11.36348,2016,1,11.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.81313,12.05209,2016,1,14.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.72734,12.05191,2016,1,17.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.72734,12.05191,2016,1,17.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,58.02482,14.97191,2016,1,17.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.64446,11.90946,2016,1,19.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,56.38758,16.08472,2016,1,23.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,58.02482,14.97191,2016,1,23.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.84583,11.79551,2016,1,,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.726,12.05272,2016,1,20.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,55.56278,12.91414,2016,1,31.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,58.36098,11.27002,2016,1,,Sweden,Wintering
Blackcap,Sylvia atricapilla,58.01862,11.83087,2016,1,,Sweden,Wintering
Blackcap,Sylvia atricapilla,56.60137,16.64028,2016,1,,Sweden,Wintering
Blackcap,Sylvia atricapilla,57.39021,12.00094,2016,1,16.0,Sweden,Wintering
Blackcap,Sylvia atricapilla,56.7634,12.63149,2016,1,,Sweden,Wintering
Blackcap,Sylvia atricapilla,60.48804,15.46519,2016,1,,Sweden,Wintering
Blackcap,Sylvia atricapilla,58.35682,11.95041,2016,1,,Sweden,Wintering
Blackcap,Sylvia atricapilla,55.70008,13.19024,2016,1,,Sweden,Wintering
Blackcap,Sylvia atricapilla,55.76319,13.02396,2016,1,,Sweden,Wintering
