species,scientific_name,latitude,longitude,year,month,day,country,phase,ndvi,ndwi,ndmi,ndbi,mndwi
Blackcap,Sylvia atricapilla,57.03149,18.2764,2016,1,1.0,Sweden,Wintering,0.1284805685281753,-0.1618160605430603,0.5772421956062317,-0.5772421956062317,0.4582278430461883
Blackcap,Sylvia atricapilla,57.74295,12.04397,2016,1,1.0,Sweden,Wintering,0.607594907283783,-0.5997200608253479,0.4146039485931396,-0.4146039485931396,-0.2463768124580383
Blackcap,Sylvia atricapilla,57.72734,12.05191,2016,1,1.0,Sweden,Wintering,0.2405832260847091,-0.2531451284885406,0.3144512474536896,-0.3144512474536896,0.0666082352399826
Blackcap,Sylvia atricapilla,55.75618,12.90483,2016,1,1.0,Sweden,Wintering,0.0948861986398696,-0.0878120437264442,0.3309378325939178,-0.3309378325939178,0.250402569770813
Blackcap,Sylvia atricapilla,62.63665,17.95288,2016,1,2.0,Sweden,Wintering,0.0,0.0,0.0,0.0,0.0
Blackcap,Sylvia atricapilla,57.66661,11.89684,2016,1,2.0,Sweden,Wintering,0.322203665971756,-0.3355817794799804,0.1642778366804123,-0.1642778366804123,-0.1812987029552459
Blackcap,Sylvia atricapilla,59.22216,15.24741,2016,1,2.0,Sweden,Wintering,-0.2081632614135742,0.3627155721187591,0.8549800515174866,-0.8549800515174866,0.9294573664665222
Blackcap,Sylvia atricapilla,57.6714,11.8925,2016,1,3.0,Sweden,Wintering,0.5054432153701782,-0.5542710423469543,0.3591687679290771,-0.3591687679290771,-0.2435967326164245
Blackcap,Sylvia atricapilla,57.72734,12.05191,2016,1,3.0,Sweden,Wintering,0.2405832260847091,-0.2531451284885406,0.3144512474536896,-0.3144512474536896,0.0666082352399826
Blackcap,Sylvia atricapilla,58.0525,14.3369,2016,1,2.0,Sweden,Wintering,0.1113374754786491,-0.1770417541265487,0.1957474797964096,-0.1957474797964096,0.0193772558122873
Blackcap,Sylvia atricapilla,57.68552,11.66415,2016,1,4.0,Sweden,Wintering,0.4330864250659942,-0.3643629550933838,0.3675777614116668,-0.3675777614116668,0.0037119525950402
Blackcap,Sylvia atricapilla,56.63266,16.1689,2016,1,6.0,Sweden,Wintering,0.2668680846691131,-0.1890359222888946,-0.3623923063278198,0.3623923063278198,-0.5160744786262512
Blackcap,Sylvia atricapilla,57.72245,11.77007,2016,1,6.0,Sweden,Wintering,0.2274322211742401,-0.2077840566635131,0.501365602016449,-0.501365602016449,0.3277222514152527
Blackcap,Sylvia atricapilla,56.07595,15.8459,2016,1,6.0,Sweden,Wintering,0.4273858964443207,-0.4474053382873535,0.0445344112813472,-0.0445344112813472,-0.4110612869262695
Blackcap,Sylvia atricapilla,58.67664,17.08958,2016,1,6.0,Sweden,Wintering,-0.0627296194434166,0.0215909089893102,0.7513348460197449,-0.7513348460197449,0.7605875134468079
Blackcap,Sylvia atricapilla,57.72734,12.05191,2016,1,7.0,Sweden,Wintering,0.2405832260847091,-0.2531451284885406,0.3144512474536896,-0.3144512474536896,0.0666082352399826
Blackcap,Sylvia atricapilla,56.58075,16.45568,2016,1,9.0,Sweden,Wintering,0.1605695486068725,-0.1679894179105758,0.1388650089502334,-0.1388650089502334,-0.0298200510442256
Blackcap,Sylvia atricapilla,56.92161,18.15233,2016,1,9.0,Sweden,Wintering,0.1094756200909614,-0.0100502511486411,0.2981700897216797,-0.2981700897216797,0.2889858186244964
Blackcap,Sylvia atricapilla,57.39021,12.00094,2016,1,10.0,Sweden,Wintering,0.4089035391807556,-0.4188459813594818,0.1586440652608871,-0.1586440652608871,-0.2787223160266876
Blackcap,Sylvia atricapilla,58.11129,11.36348,2016,1,11.0,Sweden,Wintering,0.3097345232963562,-0.2369410842657089,0.1792828738689422,-0.1792828738689422,-0.060216162353754
Blackcap,Sylvia atricapilla,57.81313,12.05209,2016,1,14.0,Sweden,Wintering,0.3530377745628357,-0.2465960681438446,0.5938104391098022,-0.5938104391098022,0.4067796468734741
Blackcap,Sylvia atricapilla,57.72734,12.05191,2016,1,17.0,Sweden,Wintering,0.2405832260847091,-0.2531451284885406,0.3144512474536896,-0.3144512474536896,0.0666082352399826
Blackcap,Sylvia atricapilla,57.72734,12.05191,2016,1,17.0,Sweden,Wintering,0.2405832260847091,-0.2531451284885406,0.3144512474536896,-0.3144512474536896,0.0666082352399826
Blackcap,Sylvia atricapilla,58.02482,14.97191,2016,1,17.0,Sweden,Wintering,0.0572401769459247,-0.1009602919220924,0.6217662692070007,-0.6217662692070007,0.5556886196136475
Blackcap,Sylvia atricapilla,57.64446,11.90946,2016,1,19.0,Sweden,Wintering,0.5840455889701843,-0.6401180028915405,0.3930473029613495,-0.3930473029613495,-0.330130398273468
Blackcap,Sylvia atricapilla,56.38758,16.08472,2016,1,23.0,Sweden,Wintering,0.2709551751613617,-0.4548932015895843,0.2077269107103347,-0.2077269107103347,-0.2729591727256775
Blackcap,Sylvia atricapilla,58.02482,14.97191,2016,1,23.0,Sweden,Wintering,0.0572401769459247,-0.1009602919220924,0.6217662692070007,-0.6217662692070007,0.5556886196136475
Blackcap,Sylvia atricapilla,57.84583,11.79551,2016,1,,Sweden,Wintering,0.2693186998367309,-0.2186128199100494,0.3880000114440918,-0.3880000114440918,0.1850865483283996
Blackcap,Sylvia atricapilla,57.726,12.05272,2016,1,20.0,Sweden,Wintering,0.1503268033266067,-0.1601395905017852,0.3256535232067108,-0.3256535232067108,0.1746203899383545
Blackcap,Sylvia atricapilla,55.56278,12.91414,2016,1,31.0,Sweden,Wintering,0.4010434746742248,-0.4857985973358154,0.1050754487514495,-0.1050754487514495,-0.4012027382850647
Blackcap,Sylvia atricapilla,58.36098,11.27002,2016,1,,Sweden,Wintering,0.1144465282559394,-0.1515347361564636,0.1172413825988769,-0.1172413825988769,-0.034913633018732
Blackcap,Sylvia atricapilla,58.01862,11.83087,2016,1,,Sweden,Wintering,0.3447604179382324,-0.2847041189670563,0.4095549285411834,-0.4095549285411834,0.1413301676511764
Blackcap,Sylvia atricapilla,56.60137,16.64028,2016,1,,Sweden,Wintering,0.2871814370155334,-0.2896341383457184,0.2755371332168579,-0.2755371332168579,-0.0153195988386869
Blackcap,Sylvia atricapilla,57.39021,12.00094,2016,1,16.0,Sweden,Wintering,0.4089035391807556,-0.4188459813594818,0.1586440652608871,-0.1586440652608871,-0.2787223160266876
Blackcap,Sylvia atricapilla,56.7634,12.63149,2016,1,,Sweden,Wintering,0.0115295927971601,0.0442992001771926,0.2007299214601516,-0.2007299214601516,0.24286949634552
Blackcap,Sylvia atricapilla,60.48804,15.46519,2016,1,,Sweden,Wintering,0.0460065603256225,-0.0768388360738754,0.6237787008285522,-0.6237787008285522,0.5744746923446655
Blackcap,Sylvia atricapilla,58.35682,11.95041,2016,1,,Sweden,Wintering,0.0237773060798645,0.0330472886562347,0.4573472738265991,-0.4573472738265991,0.4830930531024933
Blackcap,Sylvia atricapilla,55.70008,13.19024,2016,1,,Sweden,Wintering,-0.0277227722108364,0.0290046148002147,0.1485380083322525,-0.1485380083322525,0.1767809987068176
Blackcap,Sylvia atricapilla,55.76319,13.02396,2016,1,,Sweden,Wintering,0.2612184286117553,-0.2661097943782806,0.4725884795188904,-0.4725884795188904,0.2361809015274047
Blackcap,Sylvia atricapilla,58.16743,13.52618,2016,1,,Sweden,Wintering,0.026882966980338,-0.0347968228161335,0.4252171218395233,-0.4252171218395233,0.3962837755680084
Blackcap,Sylvia atricapilla,56.63266,16.1689,2016,1,,Sweden,Wintering,0.2668680846691131,-0.1890359222888946,-0.3623923063278198,0.3623923063278198,-0.5160744786262512
Blackcap,Sylvia atricapilla,58.33956,13.83977,2016,1,,Sweden,Wintering,0.0558001436293125,-0.075847677886486,0.2042508423328399,-0.2042508423328399,0.1304236799478531
Blackcap,Sylvia atricapilla,58.74875,17.57083,2016,1,,Sweden,Wintering,0.4130792021751404,-0.3058001697063446,0.6962524652481079,-0.6962524652481079,0.496073305606842
Blackcap,Sylvia atricapilla,57.68358,11.92682,2016,1,,Sweden,Wintering,0.1860019117593765,-0.1922891587018966,0.1184448450803756,-0.1184448450803756,-0.0755653604865074
Blackcap,Sylvia atricapilla,57.81148,12.05453,2016,1,,Sweden,Wintering,-0.0448504984378814,0.1544117629528045,0.5211640000343323,-0.5211640000343323,0.6252588033676147
Blackcap,Sylvia atricapilla,37.4,-5.98333,2016,1,13.0,Spain,Wintering,0.0599800534546375,-0.0587733015418052,0.0520361997187137,-0.0520361997187137,-0.0067577715963125
Blackcap,Sylvia atricapilla,35.88333,-5.31667,2016,1,20.0,Spain,Wintering,0.0,1.0,-1.0,1.0,0.8989899158477783
Blackcap,Sylvia atricapilla,35.88333,-5.31667,2016,1,30.0,Spain,Wintering,0.0,1.0,-1.0,1.0,0.8989899158477783
Blackcap,Sylvia atricapilla,35.88333,-5.31667,2016,1,20.0,Spain,Wintering,0.0,1.0,-1.0,1.0,0.8989899158477783
Blackcap,Sylvia atricapilla,35.88333,-5.31667,2016,1,20.0,Spain,Wintering,0.0,1.0,-1.0,1.0,0.8989899158477783
Blackcap,Sylvia atricapilla,35.88333,-5.31667,2016,1,20.0,Spain,Wintering,0.0,1.0,-1.0,1.0,0.8989899158477783
Blackcap,Sylvia atricapilla,35.88333,-5.31667,2016,1,30.0,Spain,Wintering,0.0,1.0,-1.0,1.0,0.8989899158477783
Blackcap,Sylvia atricapilla,38.9,-0.25,2016,1,26.0,Spain,Wintering,0.8581832051277161,-0.920760691165924,0.3698785006999969,-0.3698785006999969,-0.8353909254074097
Blackcap,Sylvia atricapilla,39.35,-0.88333,2016,1,19.0,Spain,Wintering,0.3206064105033874,-0.4867256581783294,-0.0248756222426891,0.0248756222426891,-0.5054811239242554
Blackcap,Sylvia atricapilla,39.35,-0.88333,2016,1,19.0,Spain,Wintering,0.3206064105033874,-0.4867256581783294,-0.0248756222426891,0.0248756222426891,-0.5054811239242554
Blackcap,Sylvia atricapilla,39.88333,0.68333,2016,1,25.0,Spain,Wintering,0.0,1.0,-1.0,1.0,0.5
Blackcap,Sylvia atricapilla,40.05,0.03333,2016,1,3.0,Spain,Wintering,0.5668933987617493,-0.5519371032714844,-0.0376044586300849,0.0376044586300849,-0.5775542855262756
Blackcap,Sylvia atricapilla,39.88333,0.68333,2016,1,23.0,Spain,Wintering,0.0,1.0,-1.0,1.0,0.5
Blackcap,Sylvia atricapilla,39.88333,0.68333,2016,1,1.0,Spain,Wintering,0.0,1.0,-1.0,1.0,0.5
Blackcap,Sylvia atricapilla,40.05,0.03333,2016,1,1.0,Spain,Wintering,0.5668933987617493,-0.5519371032714844,-0.0376044586300849,0.0376044586300849,-0.5775542855262756
Blackcap,Sylvia atricapilla,40.05,0.03333,2016,1,1.0,Spain,Wintering,0.5668933987617493,-0.5519371032714844,-0.0376044586300849,0.0376044586300849,-0.5775542855262756
Blackcap,Sylvia atricapilla,40.05,0.03333,2016,1,9.0,Spain,Wintering,0.5668933987617493,-0.5519371032714844,-0.0376044586300849,0.0376044586300849,-0.5775542855262756
Blackcap,Sylvia atricapilla,40.05,0.03333,2016,1,9.0,Spain,Wintering,0.5668933987617493,-0.5519371032714844,-0.0376044586300849,0.0376044586300849,-0.5775542855262756
Blackcap,Sylvia atricapilla,39.96667,-0.25,2016,1,29.0,Spain,Wintering,0.0268830228596925,-0.1143232583999633,-0.1765391379594802,0.1765391379594802,-0.2851081788539886
Blackcap,Sylvia atricapilla,39.96667,-0.25,2016,1,29.0,Spain,Wintering,0.0268830228596925,-0.1143232583999633,-0.1765391379594802,0.1765391379594802,-0.2851081788539886
Blackcap,Sylvia atricapilla,39.96667,-0.25,2016,1,29.0,Spain,Wintering,0.0268830228596925,-0.1143232583999633,-0.1765391379594802,0.1765391379594802,-0.2851081788539886
Blackcap,Sylvia atricapilla,38.23333,-0.65,2016,1,12.0,Spain,Wintering,0.1202963516116142,-0.2695536911487579,-0.158218577504158,0.158218577504158,-0.4102747142314911
Blackcap,Sylvia atricapilla,38.23333,-0.65,2016,1,12.0,Spain,Wintering,0.1202963516116142,-0.2695536911487579,-0.158218577504158,0.158218577504158,-0.4102747142314911
Blackcap,Sylvia atricapilla,39.6,-0.31667,2016,1,21.0,Spain,Wintering,0.790144145488739,-0.7137355804443359,0.2576542496681213,-0.2576542496681213,-0.5588526129722595
Blackcap,Sylvia atricapilla,39.6,-0.31667,2016,1,21.0,Spain,Wintering,0.790144145488739,-0.7137355804443359,0.2576542496681213,-0.2576542496681213,-0.5588526129722595
Blackcap,Sylvia atricapilla,37.38333,-5.95,2016,1,31.0,Spain,Wintering,0.0718014165759086,-0.0430071130394935,0.0734200775623321,-0.0734200775623321,0.0305092986673116
Blackcap,Sylvia atricapilla,37.38333,-5.95,2016,1,31.0,Spain,Wintering,0.0718014165759086,-0.0430071130394935,0.0734200775623321,-0.0734200775623321,0.0305092986673116
Blackcap,Sylvia atricapilla,37.38333,-5.95,2016,1,31.0,Spain,Wintering,0.0718014165759086,-0.0430071130394935,0.0734200775623321,-0.0734200775623321,0.0305092986673116
Blackcap,Sylvia atricapilla,37.38333,-5.95,2016,1,31.0,Spain,Wintering,0.0718014165759086,-0.0430071130394935,0.0734200775623321,-0.0734200775623321,0.0305092986673116
Blackcap,Sylvia atricapilla,37.38333,-5.95,2016,1,31.0,Spain,Wintering,0.0718014165759086,-0.0430071130394935,0.0734200775623321,-0.0734200775623321,0.0305092986673116
Blackcap,Sylvia atricapilla,37.38333,-5.95,2016,1,31.0,Spain,Wintering,0.0718014165759086,-0.0430071130394935,0.0734200775623321,-0.0734200775623321,0.0305092986673116
Blackcap,Sylvia atricapilla,37.38333,-5.95,2016,1,31.0,Spain,Wintering,0.0718014165759086,-0.0430071130394935,0.0734200775623321,-0.0734200775623321,0.0305092986673116
Blackcap,Sylvia atricapilla,37.38333,-5.95,2016,1,31.0,Spain,Wintering,0.0718014165759086,-0.0430071130394935,0.0734200775623321,-0.0734200775623321,0.0305092986673116
Blackcap,Sylvia atricapilla,39.48333,-0.45,2016,1,30.0,Spain,Wintering,0.5229476690292358,-0.5790884494781494,-0.0129870129749178,0.0129870129749178,-0.5876559615135193
Blackcap,Sylvia atricapilla,39.48333,-0.45,2016,1,30.0,Spain,Wintering,0.5229476690292358,-0.5790884494781494,-0.0129870129749178,0.0129870129749178,-0.5876559615135193
Blackcap,Sylvia atricapilla,42.0,0.23333,2016,1,17.0,Spain,Wintering,0.7401335835456848,-0.6903568506240845,0.2276718765497207,-0.2276718765497207,-0.5489690899848938
Blackcap,Sylvia atricapilla,42.0,0.23333,2016,1,17.0,Spain,Wintering,0.7401335835456848,-0.6903568506240845,0.2276718765497207,-0.2276718765497207,-0.5489690899848938
